t, Data, 
40908.000000, 2.478836e+03,
40908.100000, 2.478842e+03,
40908.200000, 2.478848e+03,
40908.300000, 2.478854e+03,
40908.400000, 2.478860e+03,
40908.500000, 2.478866e+03,
40908.600000, 2.478872e+03,
40908.700000, 2.478878e+03,
40908.800000, 2.478884e+03,
40908.900000, 2.478890e+03,
40909.000000, 2.478896e+03,
40909.100000, 2.478902e+03,
40909.200000, 2.478908e+03,
40909.300000, 2.478914e+03,
40909.400000, 2.478920e+03,
40909.500000, 2.478926e+03,
40909.600000, 2.478932e+03,
40909.700000, 2.478939e+03,
40909.800000, 2.478945e+03,
40909.900000, 2.478951e+03,
40910.000000, 2.478957e+03,
40910.100000, 2.478963e+03,
40910.200000, 2.478969e+03,
40910.300000, 2.478975e+03,
40910.400000, 2.478981e+03,
40910.500000, 2.478987e+03,
40910.600000, 2.478993e+03,
40910.700000, 2.478999e+03,
40910.800000, 2.479005e+03,
40910.900000, 2.479011e+03,
40911.000000, 2.479017e+03,
40911.100000, 2.479023e+03,
40911.200000, 2.479029e+03,
40911.300000, 2.479036e+03,
40911.400000, 2.479042e+03,
40911.500000, 2.479048e+03,
40911.600000, 2.479054e+03,
40911.700000, 2.479060e+03,
40911.800000, 2.479066e+03,
40911.900000, 2.479072e+03,
40912.000000, 2.479078e+03,
40912.100000, 2.479084e+03,
40912.200000, 2.479090e+03,
40912.300000, 2.479096e+03,
40912.400000, 2.479102e+03,
40912.500000, 2.479108e+03,
40912.600000, 2.479114e+03,
40912.700000, 2.479120e+03,
40912.800000, 2.479126e+03,
40912.900000, 2.479132e+03,
40913.000000, 2.479139e+03,
40913.100000, 2.479145e+03,
40913.200000, 2.479151e+03,
40913.300000, 2.479157e+03,
40913.400000, 2.479163e+03,
40913.500000, 2.479169e+03,
40913.600000, 2.479175e+03,
40913.700000, 2.479181e+03,
40913.800000, 2.479187e+03,
40913.900000, 2.479193e+03,
40914.000000, 2.479199e+03,
40914.100000, 2.479205e+03,
40914.200000, 2.479211e+03,
40914.300000, 2.479217e+03,
40914.400000, 2.479223e+03,
40914.500000, 2.479229e+03,
40914.600000, 2.479235e+03,
40914.700000, 2.479242e+03,
40914.800000, 2.479248e+03,
40914.900000, 2.479254e+03,
40915.000000, 2.479260e+03,
40915.100000, 2.479266e+03,
40915.200000, 2.479272e+03,
40915.300000, 2.479278e+03,
40915.400000, 2.479284e+03,
40915.500000, 2.479290e+03,
40915.600000, 2.479296e+03,
40915.700000, 2.479302e+03,
40915.800000, 2.479308e+03,
40915.900000, 2.479314e+03,
40916.000000, 2.479320e+03,
40916.100000, 2.479326e+03,
40916.200000, 2.479332e+03,
40916.300000, 2.479338e+03,
40916.400000, 2.479345e+03,
40916.500000, 2.479351e+03,
40916.600000, 2.479357e+03,
40916.700000, 2.479363e+03,
40916.800000, 2.479369e+03,
40916.900000, 2.479375e+03,
40917.000000, 2.479381e+03,
40917.100000, 2.479387e+03,
40917.200000, 2.479393e+03,
40917.300000, 2.479399e+03,
40917.400000, 2.479405e+03,
40917.500000, 2.479411e+03,
40917.600000, 2.479417e+03,
40917.700000, 2.479423e+03,
40917.800000, 2.479429e+03,
40917.900000, 2.479435e+03,
40918.000000, 2.479441e+03,
40918.100000, 2.479448e+03,
40918.200000, 2.479454e+03,
40918.300000, 2.479460e+03,
40918.400000, 2.479466e+03,
40918.500000, 2.479472e+03,
40918.600000, 2.479478e+03,
40918.700000, 2.479484e+03,
40918.800000, 2.479490e+03,
40918.900000, 2.479496e+03,
40919.000000, 2.479502e+03,
40919.100000, 2.479508e+03,
40919.200000, 2.479514e+03,
40919.300000, 2.479520e+03,
40919.400000, 2.479526e+03,
40919.500000, 2.479532e+03,
40919.600000, 2.479538e+03,
40919.700000, 2.479545e+03,
40919.800000, 2.479551e+03,
40919.900000, 2.479557e+03,
40920.000000, 2.479563e+03,
40920.100000, 2.479569e+03,
40920.200000, 2.479575e+03,
40920.300000, 2.479581e+03,
40920.400000, 2.479587e+03,
40920.500000, 2.479593e+03,
40920.600000, 2.479599e+03,
40920.700000, 2.479605e+03,
40920.800000, 2.479611e+03,
40920.900000, 2.479617e+03,
40921.000000, 2.479623e+03,
40921.100000, 2.479629e+03,
40921.200000, 2.479635e+03,
40921.300000, 2.479641e+03,
40921.400000, 2.479648e+03,
40921.500000, 2.479654e+03,
40921.600000, 2.479660e+03,
40921.700000, 2.479666e+03,
40921.800000, 2.479672e+03,
40921.900000, 2.479678e+03,
40922.000000, 2.479684e+03,
40922.100000, 2.479690e+03,
40922.200000, 2.479696e+03,
40922.300000, 2.479702e+03,
40922.400000, 2.479708e+03,
40922.500000, 2.479714e+03,
40922.600000, 2.479720e+03,
40922.700000, 2.479726e+03,
40922.800000, 2.479732e+03,
40922.900000, 2.479738e+03,
40923.000000, 2.479744e+03,
40923.100000, 2.479751e+03,
40923.200000, 2.479757e+03,
40923.300000, 2.479763e+03,
40923.400000, 2.479769e+03,
40923.500000, 2.479775e+03,
40923.600000, 2.479781e+03,
40923.700000, 2.479787e+03,
40923.800000, 2.479793e+03,
40923.900000, 2.479799e+03,
40924.000000, 2.479805e+03,
40924.100000, 2.479811e+03,
40924.200000, 2.479817e+03,
40924.300000, 2.479823e+03,
40924.400000, 2.479829e+03,
40924.500000, 2.479835e+03,
40924.600000, 2.479841e+03,
40924.700000, 2.479847e+03,
40924.800000, 2.479854e+03,
40924.900000, 2.479860e+03,
40925.000000, 2.479866e+03,
40925.100000, 2.479872e+03,
40925.200000, 2.479878e+03,
40925.300000, 2.479884e+03,
40925.400000, 2.479890e+03,
40925.500000, 2.479896e+03,
40925.600000, 2.479902e+03,
40925.700000, 2.479908e+03,
40925.800000, 2.479914e+03,
40925.900000, 2.479920e+03,
40926.000000, 2.479926e+03,
40926.100000, 2.479932e+03,
40926.200000, 2.479938e+03,
40926.300000, 2.479944e+03,
40926.400000, 2.479950e+03,
40926.500000, 2.479957e+03,
40926.600000, 2.479963e+03,
40926.700000, 2.479969e+03,
40926.800000, 2.479975e+03,
40926.900000, 2.479981e+03,
40927.000000, 2.479987e+03,
40927.100000, 2.479993e+03,
40927.200000, 2.479999e+03,
