n 141548, BTC size 141548
40908.03611, 0
40908.07778, 0
40908.11944, 0
40908.16111, 0
40908.20278, 0
40908.24444, 0
40908.28611, 0
40908.32778, 0
40908.36944, 0
40908.41111, 0
40908.45278, 0
40908.49444, 0
40908.53611, 0
40908.57778, 0
40908.61944, 0
40908.66111, 0
40908.68472, 0
40908.70278, 0
40908.71806, 0
40908.74444, 0
40908.78611, 0
40908.82778, 0
40908.86944, 0
40908.89236, 0
40908.91111, 0
40908.95278, 0
40908.99444, 0
40909.03611, 0
40909.07778, 0
40909.11944, 0
40909.16111, 0
40909.20278, 0
40909.24444, 0
40909.28611, 0
40909.32778, 0
40909.36944, 0
40909.41111, 0
40909.45278, 0
40909.49444, 0
40909.53611, 0
40909.57778, 0
40909.61944, 0
40909.66111, 0
40909.70278, 0
40909.74444, 0
40909.78611, 0
40909.82778, 0
40909.86944, 0
40909.91111, 0
40909.95278, 0
40909.99444, 0
40910.03611, 0
40910.07778, 0
40910.11944, 0
40910.16111, 0
40910.20278, 0
40910.24444, 0
40910.28611, 0
40910.32778, 0
40910.36944, 0
40910.41111, 0
40910.43542, 0
40910.45278, 0
40910.49444, 0
40910.53611, 0
40910.55903, 0
40910.56806, 0
40910.57778, 0
40910.61944, 0
40910.66111, 0
40910.70278, 0
40910.74444, 0
40910.78611, 0
40910.82778, 0
40910.86944, 0
40910.91111, 0
40910.95278, 0
40910.99444, 0
40911.03611, 0
40911.07778, 0
40911.11944, 0
40911.16111, 0
40911.20278, 0
40911.24444, 0
40911.28611, 0
40911.32778, 0
40911.36944, 0
40911.41111, 0
40911.45278, 0
40911.49444, 0
40911.53611, 0
40911.57778, 0
40911.59306, 0
40911.61944, 0
40911.66111, 0
40911.70278, 0
40911.74444, 0
40911.78611, 0
40911.82778, 0
40911.85833, 0
40911.86944, 0
40911.91111, 0
40911.95278, 0
40911.99444, 0
40912.03611, 0
40912.07778, 0
40912.11944, 0
40912.16111, 0
40912.20278, 0
40912.24444, 0
40912.28611, 0
40912.32778, 0
40912.36944, 0
40912.40208, 0
40912.41111, 0
40912.45278, 0
40912.49444, 0
40912.53611, 0
40912.57778, 0
40912.61944, 0
40912.66111, 0
40912.70278, 0
40912.74444, 0
40912.78611, 0
40912.82778, 0
40912.86944, 0
40912.91111, 0
40912.95278, 0
40912.99444, 0
40913.03611, 0
40913.07778, 0
40913.11944, 0
40913.16111, 0
40913.20278, 0
40913.24444, 0
40913.28611, 0
40913.32778, 0
40913.36944, 0
40913.41111, 0
40913.45278, 0
40913.49444, 0
40913.53611, 0
40913.57778, 0
40913.61944, 0
40913.66111, 0
40913.70278, 0
40913.74444, 0
40913.78611, 0
40913.82778, 0
40913.86944, 0
40913.91111, 0
40913.95278, 0
40913.99444, 0
40914.03611, 0
40914.07778, 0
40914.11944, 0
40914.16111, 0
40914.20278, 0
40914.24444, 0
40914.28611, 0
40914.32778, 0
40914.36944, 0
40914.41111, 0
40914.45278, 0
40914.49444, 0
40914.53611, 0
40914.57778, 0
40914.61944, 0
40914.66111, 0
40914.70278, 0
40914.74444, 0
40914.78611, 0
