t, Data, 
40908.000000, 0.000000e+00,
40908.100000, 0.000000e+00,
40908.200000, 0.000000e+00,
40908.300000, 0.000000e+00,
40908.400000, 0.000000e+00,
40908.500000, 0.000000e+00,
40908.600000, 0.000000e+00,
40908.700000, 0.000000e+00,
40908.800000, 0.000000e+00,
40908.900000, 0.000000e+00,
40909.000000, 0.000000e+00,
40909.100000, 0.000000e+00,
40909.200000, 0.000000e+00,
40909.300000, 0.000000e+00,
40909.400000, 0.000000e+00,
40909.500000, 0.000000e+00,
40909.600000, 0.000000e+00,
40909.700000, 0.000000e+00,
40909.800000, 0.000000e+00,
40909.900000, 0.000000e+00,
40910.000000, 0.000000e+00,
40910.100000, 0.000000e+00,
40910.200000, 0.000000e+00,
40910.300000, 0.000000e+00,
40910.400000, 0.000000e+00,
40910.500000, 0.000000e+00,
40910.600000, 0.000000e+00,
40910.700000, 0.000000e+00,
40910.800000, 0.000000e+00,
40910.900000, 0.000000e+00,
40911.000000, 0.000000e+00,
40911.100000, 0.000000e+00,
40911.200000, 0.000000e+00,
40911.300000, 0.000000e+00,
40911.400000, 0.000000e+00,
40911.500000, 0.000000e+00,
40911.600000, 0.000000e+00,
40911.700000, 0.000000e+00,
40911.800000, 0.000000e+00,
40911.900000, 0.000000e+00,
40912.000000, 0.000000e+00,
40912.100000, 0.000000e+00,
40912.200000, 0.000000e+00,
40912.300000, 0.000000e+00,
40912.400000, 0.000000e+00,
40912.500000, 0.000000e+00,
40912.600000, 0.000000e+00,
40912.700000, 0.000000e+00,
40912.800000, 0.000000e+00,
40912.900000, 0.000000e+00,
40913.000000, 0.000000e+00,
40913.100000, 0.000000e+00,
40913.200000, 0.000000e+00,
40913.300000, 0.000000e+00,
40913.400000, 0.000000e+00,
40913.500000, 0.000000e+00,
40913.600000, 0.000000e+00,
40913.700000, 0.000000e+00,
40913.800000, 0.000000e+00,
40913.900000, 0.000000e+00,
40914.000000, 0.000000e+00,
40914.100000, 0.000000e+00,
40914.200000, 0.000000e+00,
40914.300000, 0.000000e+00,
40914.400000, 0.000000e+00,
40914.500000, 0.000000e+00,
40914.600000, 0.000000e+00,
40914.700000, 0.000000e+00,
40914.800000, 0.000000e+00,
40914.900000, 0.000000e+00,
40915.000000, 0.000000e+00,
40915.100000, 0.000000e+00,
40915.200000, 0.000000e+00,
40915.300000, 0.000000e+00,
40915.400000, 0.000000e+00,
40915.500000, 0.000000e+00,
40915.600000, 0.000000e+00,
40915.700000, 0.000000e+00,
40915.800000, 0.000000e+00,
40915.900000, 0.000000e+00,
40916.000000, 0.000000e+00,
40916.100000, 0.000000e+00,
40916.200000, 0.000000e+00,
40916.300000, 0.000000e+00,
40916.400000, 0.000000e+00,
40916.500000, 0.000000e+00,
40916.600000, 1.000000e-04,
40916.700000, 7.555200e-04,
40916.800000, 6.666667e-05,
40916.900000, 0.000000e+00,
40917.000000, 0.000000e+00,
40917.100000, 0.000000e+00,
40917.200000, 0.000000e+00,
40917.300000, 0.000000e+00,
40917.400000, 0.000000e+00,
40917.500000, 0.000000e+00,
40917.600000, 0.000000e+00,
40917.700000, 0.000000e+00,
40917.800000, 0.000000e+00,
40917.900000, 0.000000e+00,
40918.000000, 0.000000e+00,
40918.100000, 0.000000e+00,
40918.200000, 0.000000e+00,
40918.300000, 0.000000e+00,
40918.400000, 0.000000e+00,
40918.500000, 1.112000e-05,
40918.600000, 4.666347e-05,
40918.700000, 9.332853e-05,
40918.800000, 6.666667e-04,
40918.900000, 5.179468e-04,
40919.000000, 1.319942e-03,
40919.100000, 1.000000e-04,
40919.200000, 2.801153e-04,
40919.300000, 0.000000e+00,
40919.400000, 0.000000e+00,
40919.500000, 0.000000e+00,
40919.600000, 0.000000e+00,
40919.700000, 0.000000e+00,
40919.800000, 0.000000e+00,
40919.900000, 0.000000e+00,
40920.000000, 1.334293e-05,
40920.100000, 5.333653e-05,
40920.200000, 0.000000e+00,
40920.300000, 0.000000e+00,
40920.400000, 0.000000e+00,
40920.500000, 0.000000e+00,
40920.600000, 0.000000e+00,
40920.700000, 0.000000e+00,
40920.800000, 0.000000e+00,
40920.900000, 0.000000e+00,
40921.000000, 0.000000e+00,
40921.100000, 0.000000e+00,
40921.200000, 0.000000e+00,
40921.300000, 0.000000e+00,
40921.400000, 0.000000e+00,
40921.500000, 0.000000e+00,
40921.600000, 0.000000e+00,
40921.700000, 0.000000e+00,
40921.800000, 0.000000e+00,
40921.900000, 0.000000e+00,
40922.000000, 0.000000e+00,
40922.100000, 0.000000e+00,
40922.200000, 0.000000e+00,
40922.300000, 0.000000e+00,
40922.400000, 0.000000e+00,
40922.500000, 0.000000e+00,
40922.600000, 0.000000e+00,
40922.700000, 0.000000e+00,
40922.800000, 0.000000e+00,
40922.900000, 0.000000e+00,
40923.000000, 0.000000e+00,
40923.100000, 0.000000e+00,
40923.200000, 0.000000e+00,
40923.300000, 0.000000e+00,
40923.400000, 0.000000e+00,
40923.500000, 0.000000e+00,
40923.600000, 0.000000e+00,
40923.700000, 0.000000e+00,
40923.800000, 0.000000e+00,
40923.900000, 2.200144e-04,
40924.000000, 2.668586e-05,
40924.100000, 1.399904e-04,
40924.200000, 1.866571e-04,
40924.300000, 1.000000e-04,
40924.400000, 5.866331e-04,
40924.500000, 0.000000e+00,
40924.600000, 0.000000e+00,
40924.700000, 0.000000e+00,
40924.800000, 0.000000e+00,
40924.900000, 0.000000e+00,
40925.000000, 0.000000e+00,
40925.100000, 0.000000e+00,
40925.200000, 0.000000e+00,
40925.300000, 0.000000e+00,
40925.400000, 0.000000e+00,
40925.500000, 0.000000e+00,
40925.600000, 0.000000e+00,
40925.700000, 0.000000e+00,
40925.800000, 0.000000e+00,
40925.900000, 0.000000e+00,
40926.000000, 0.000000e+00,
40926.100000, 0.000000e+00,
40926.200000, 0.000000e+00,
40926.300000, 0.000000e+00,
40926.400000, 0.000000e+00,
40926.500000, 0.000000e+00,
40926.600000, 0.000000e+00,
40926.700000, 0.000000e+00,
40926.800000, 0.000000e+00,
40926.900000, 0.000000e+00,
40927.000000, 0.000000e+00,
40927.100000, 0.000000e+00,
40927.200000, 0.000000e+00,
40927.300000, 0.000000e+00,
40927.400000, 0.000000e+00,
40927.500000, 0.000000e+00,
40927.600000, 0.000000e+00,
40927.700000, 0.000000e+00,
40927.800000, 0.000000e+00,
40927.900000, 0.000000e+00,
40928.000000, 4.692137e-04,
40928.100000, 4.799808e-04,
40928.200000, 1.200144e-04,
40928.300000, 4.000576e-05,
40928.400000, 0.000000e+00,
40928.500000, 0.000000e+00,
40928.600000, 0.000000e+00,
40928.700000, 0.000000e+00,
40928.800000, 0.000000e+00,
40928.900000, 0.000000e+00,
40929.000000, 0.000000e+00,
40929.100000, 0.000000e+00,
40929.200000, 0.000000e+00,
40929.300000, 0.000000e+00,
40929.400000, 0.000000e+00,
40929.500000, 0.000000e+00,
40929.600000, 0.000000e+00,
40929.700000, 0.000000e+00,
40929.800000, 0.000000e+00,
40929.900000, 0.000000e+00,
40930.000000, 0.000000e+00,
40930.100000, 0.000000e+00,
40930.200000, 0.000000e+00,
40930.300000, 0.000000e+00,
40930.400000, 0.000000e+00,
40930.500000, 0.000000e+00,
40930.600000, 0.000000e+00,
40930.700000, 0.000000e+00,
40930.800000, 0.000000e+00,
40930.900000, 0.000000e+00,
40931.000000, 0.000000e+00,
40931.100000, 0.000000e+00,
40931.200000, 0.000000e+00,
40931.300000, 0.000000e+00,
40931.400000, 0.000000e+00,
40931.500000, 0.000000e+00,
40931.600000, 0.000000e+00,
40931.700000, 0.000000e+00,
40931.800000, 0.000000e+00,
40931.900000, 0.000000e+00,
40932.000000, 0.000000e+00,
40932.100000, 0.000000e+00,
40932.200000, 0.000000e+00,
40932.300000, 0.000000e+00,
40932.400000, 0.000000e+00,
40932.500000, 0.000000e+00,
40932.600000, 0.000000e+00,
40932.700000, 0.000000e+00,
40932.800000, 0.000000e+00,
40932.900000, 0.000000e+00,
40933.000000, 0.000000e+00,
40933.100000, 0.000000e+00,
40933.200000, 0.000000e+00,
40933.300000, 0.000000e+00,
40933.400000, 0.000000e+00,
40933.500000, 0.000000e+00,
40933.600000, 0.000000e+00,
40933.700000, 0.000000e+00,
40933.800000, 0.000000e+00,
40933.900000, 0.000000e+00,
40934.000000, 0.000000e+00,
40934.100000, 0.000000e+00,
40934.200000, 0.000000e+00,
40934.300000, 0.000000e+00,
40934.400000, 3.442099e-03,
40934.500000, 0.000000e+00,
40934.600000, 0.000000e+00,
40934.700000, 0.000000e+00,
40934.800000, 0.000000e+00,
40934.900000, 0.000000e+00,
40935.000000, 0.000000e+00,
40935.100000, 0.000000e+00,
40935.200000, 0.000000e+00,
40935.300000, 0.000000e+00,
40935.400000, 0.000000e+00,
40935.500000, 0.000000e+00,
40935.600000, 0.000000e+00,
40935.700000, 0.000000e+00,
40935.800000, 0.000000e+00,
40935.900000, 0.000000e+00,
40936.000000, 0.000000e+00,
40936.100000, 0.000000e+00,
40936.200000, 0.000000e+00,
40936.300000, 0.000000e+00,
40936.400000, 0.000000e+00,
40936.500000, 0.000000e+00,
40936.600000, 0.000000e+00,
40936.700000, 0.000000e+00,
40936.800000, 0.000000e+00,
40936.900000, 0.000000e+00,
40937.000000, 0.000000e+00,
40937.100000, 0.000000e+00,
40937.200000, 0.000000e+00,
40937.300000, 0.000000e+00,
40937.400000, 0.000000e+00,
40937.500000, 0.000000e+00,
40937.600000, 0.000000e+00,
40937.700000, 0.000000e+00,
40937.800000, 0.000000e+00,
40937.900000, 0.000000e+00,
40938.000000, 0.000000e+00,
40938.100000, 0.000000e+00,
40938.200000, 0.000000e+00,
40938.300000, 0.000000e+00,
